"","X1","X2","X3","technology"
"161","Paquette, A, Hawryshyn, J, Senikas, AV, Potvin, C","2009","Enrichment Planting in Secondary Forests: a Promising Clean Development Mechanism to Increase Terrestrial Carbon Sinks","Afforestation and Reforestation"
"162","Rhemtulla, JM, Mladenoff, DJ, Clayton, MK","2009","Historical forest baselines reveal potential for continued carbon sequestration","Afforestation and Reforestation"
"163","DÃ­az, S., Wardle, D.A., Hector, A.","2009","Incorporating biodiversity in climate change mitigation initiatives","Afforestation and Reforestation"
"164","Kairo, J.G., Wanjiru, C., Ochiewo, J.","2009","Net pay: Economic analysis of a replanted mangrove plantation in Kenya","Afforestation and Reforestation"
"165","Kale, MP, Ravan, SA, Roy, PS, Singh, S","2009","Patterns of Carbon Sequestration in Forests of Western Ghats and Study of Applicability of Remote Sensing in Generating Carbon Credits through Afforestation/Reforestation","Afforestation and Reforestation"
"166","Lal, R","2009","Potential and Challenges of Soil Carbon Sequestration in Iceland","Afforestation and Reforestation"
"167","Edwards, DP, Ansell, FA, Ahmad, AH, Nilus, R, Hamer, KC","2009","The Value of Rehabilitating Logged Rainforest for Birds","Afforestation and Reforestation"
"168","Zorner, RJ, Trabucco, A, Bossio, DA, Verchot, LV","2008","Climate change mitigation: A spatial analysis of global land suitability for clean development mechanism afforestation and reforestation","Afforestation and Reforestation"
"169","Bonan, GB","2008","Forests and climate change: Forcings, feedbacks, and the climate benefits of forests","Afforestation and Reforestation"
"170","Thomson, AM, Izaurralde, RC, Smith, SJ, Clarke, LE","2008","Integrated estimates of global terrestrial carbon sequestration","Afforestation and Reforestation"
"171","Canadell, JG, Raupach, MR","2008","Managing forests for climate change mitigation","Afforestation and Reforestation"
"172","Strengers, BJ, Van Minnen, JG, Eickhout, B","2008","The role of carbon plantations in mitigating climate change: potentials and costs","Afforestation and Reforestation"
"173","van Minnen, JG, Strengers, BJ, Eickhout, B, Swart, RJ, Leemans, R","2008","Quantifying the effectiveness of climate change mitigation through forest plantations and carbon sequestration with an integrated land-use model","Afforestation and Reforestation"
"174","Glover, E.J., Young, R.F.","2008","Afforestation on Power Line Rights-of-Way Using Speckled Alder (Alnus Rugosa)","Afforestation and Reforestation"
"175","Wilcock, R, Elliott, S, Hudson, N, Parkyn, S, Quinn, J","2008","Climate change mitigation for agriculture: water quality benefits and costs","Afforestation and Reforestation"
"176","Liu, JG, Li, SX, Ouyang, ZY, Tam, C, Chen, XD","2008","Ecological and socioeconomic effects of China's policies for ecosystem services","Afforestation and Reforestation"
"177","van Noordwijk, M, Suyamto, DA, Lusiana, B, Ekadinata, A, Hairiah, K","2008","Facilitating agroforestation of landscapes for sustainable benefits: Tradeoffs between carbon stocks and local development benefits in Indonesia according to the FALLOW model","Afforestation and Reforestation"
"179","Renner, M., Sweeney, S., Kubit, J.","2008","Green jobs: Working for people and the environment","Afforestation and Reforestation"
"180","Ahn, S","2008","How feasible is carbon sequestration in Korea? A study on the costs of sequestering carbon in forest","Afforestation and Reforestation"
"181","Zhang, YD, Liu, SR, Wei, XH, Liu, JT, Zhang, GB","2008","POTENTIAL IMPACT OF AFFORESTATION ON WATER YIELD IN THE SUBALPINE REGION OF SOUTHWESTERN CHINA","Afforestation and Reforestation"
"182","Jackson, RB, Randerson, JT, Canadell, JG, Anderson, RG, Avissar, R, Baldocchi, DD, Bonan, GB, Caldeira, K, Diffenbaugh, NS, Field, CB, Hungate, BA, Jobbagy, EG, Kueppers, LM, Nosetto, MD, Pataki, DE","2008","Protecting climate with forests","Afforestation and Reforestation"
"183","Betts, RA, Falloon, PD, Goldewijk, KK, Ramankutty, N","2007","Biogeophysical effects of land use on climate: Model simulations of radiative forcing and large-scale temperature change","Afforestation and Reforestation"
"184","Benitez, PC, McCallum, I, Obersteiner, M, Yamagata, Y","2007","Global potential for carbon sequestration: Geographical distribution, country risk and policy implications","Afforestation and Reforestation"
"185","Potter, C, Klooster, S, Hiatt, S, Fladeland, M, Genovese, V, Gross, P","2007","Satellite-derived estimates of potential carbon sequestration through afforestation of agricultural lands in the United States","Afforestation and Reforestation"
"186","Yemshanov, D, McKenney, D, Fraleigh, S, D'Eon, S","2007","An integrated spatial assessment of the investment potential of three species in southern Ontario, Canada inclusive of carbon benefits","Afforestation and Reforestation"
"187","Zipper, C.E., Burger, J.A., McGrath, J.M., Amichev, B.","2007","Carbon accumulation potentials of post-SMCRA coal-mined lands","Afforestation and Reforestation"
"188","de Dios, VR, Fischer, C, Colinas, C","2007","Climate change effects on mediterranean forests and preventive measures","Afforestation and Reforestation"
"189","Galang, JS, Zipper, CE, Prisley, SP, Galbraith, JM, Donovan, PF","2007","Evaluating terrestrial carbon sequestration options for Virginia","Afforestation and Reforestation"
"191","Wang, C, Ouyang, H, Maclaren, V, Yin, Y, Shao, B, Boland, A, Tian, Y","2007","Evaluation of the economic and environmental impact of converting cropland to forest: A case study in Dunhua county, China","Afforestation and Reforestation"
"192","Redondo-Brenes, A","2007","Growth, carbon sequestration, and management of native tree plantations in humid regions of Costa Rica","Afforestation and Reforestation"
"193","Han, FXX, Lindner, JS, Wang, CJ","2007","Making carbon sequestration a paying proposition","Afforestation and Reforestation"
"194","Keles, S, Baskent, EZ","2007","Modelling and analyzing timber production and carbon sequestration values of forest ecosystems: A case study","Afforestation and Reforestation"
"195","Shin, MY, Miah, MD, Lee, KH","2007","Potential contribution of the forestry sector in Bangladesh to carbon sequestration","Afforestation and Reforestation"
"196","Im, EH, Adams, DM, Latta, GS","2007","Potential impacts of carbon taxes on carbon flux in western Oregon private forests","Afforestation and Reforestation"
"197","Zaehle, S, Bondeau, A, Carter, TR, Cramer, W, Erhard, M, Prentice, IC, Reginster, I, Rounsevell, MDA, Sitch, S, Smith, B, Smith, PC, Sykes, M","2007","Projected changes in terrestrial carbon storage in Europe under climate and land-use change, 1990-2100","Afforestation and Reforestation"
"198","Schaldach, R, Alcamo, J","2007","Simulating the effects of urbanization, afforestation and cropland abandonment on a regional carbon balance: a case study for Central Germany","Afforestation and Reforestation"
"199","Xu, W, Yin, Y, Zhou, S","2007","Social and economic impacts of carbon sequestration and land use change on peasant households in rural China: A case study of Liping, Guizhou Province","Afforestation and Reforestation"
"200","Harper, RJ, Beck, AC, Ritson, P, Hill, MJ, Mitchell, CD, Barrett, DJ, Smettem, KRJ, Mann, SS","2007","The potential of greenhouse sinks to underwrite improved land management","Afforestation and Reforestation"
"201","Roxburgh, SH, Wood, SW, Mackey, BG, Woldendorp, G, Gibbons, P","2006","Assessing the carbon sequestration potential of managed forests: a case study from temperate Australia","Afforestation and Reforestation"
"202","Nosetto, MD, Jobbagy, EG, Paruelo, JM","2006","Carbon sequestration in semi-arid rangelands: Comparison of Pinus ponderosa plantations and grazing exclusion in NW Patagonia","Afforestation and Reforestation"
"203","Niu, XZ, Duiker, SW","2006","Carbon sequestration potential by afforestation of marginal agricultural land in the Midwestern US","Afforestation and Reforestation"
"204","Byrne, KA, Milne, R","2006","Carbon stocks and sequestration in plantation forests in the Republic of Ireland","Afforestation and Reforestation"
"205","Glenday, J","2006","Carbon storage and emissions offset potential in an East African tropical rainforest","Afforestation and Reforestation"
"206","Lasco, R.D., Pulhin, J.M.","2006","Environmental impacts of community-based forest management in the Philippines","Afforestation and Reforestation"
"207","Murthy, IK, Hegde, GT, Sudha, P, Ravindranath, NH","2006","Methodological issues in developing a community forestry greenhouse gas emissions mitigation project in Mancherial forest division of Andhra Pradesh, India","Afforestation and Reforestation"
"208","Benitez, PC, Obersteiner, M","2006","Site identification for carbon sequestration in Latin America: A grid-based economic approach","Afforestation and Reforestation"
"209","Farley, KA, Jobbagy, EG, Jackson, RB","2005","Effects of afforestation on water yield: a global synthesis with implications for policy","Afforestation and Reforestation"
"210","Yemshanov, D, McKenney, DW, Hatton, T, Fox, G","2005","Investment attractiveness of afforestation in Canada inclusive of carbon sequestration benefits","Afforestation and Reforestation"
"211","Lakyda, P.I., Buksha, I.F., Pasternak, V.P.","2005","Opportunities for fulfilling Joint Implementation projects in forestry in Ukraine","Afforestation and Reforestation"
"212","Olschewski, R, Benitez, PC","2005","Secondary forests as temporary carbon sinks? The economic impact of accounting methods on reforestation projects in the tropics","Afforestation and Reforestation"
"213","Lee, HC, McCarl, BA, Gillig, D","2005","The dynamic competitiveness of US agricultural and forest carbon sequestration","Afforestation and Reforestation"
"214","de Koning, F, Olschewski, R, Veldkamp, E, Benitez, P, Lopez-Ulloa, M, Schlichter, T, de Urquiza, M","2005","The ecological and economic potential of carbon sequestration in forests: Examples from South America","Afforestation and Reforestation"
"215","Jackson, RB, Jobbagy, EG, Avissar, R, Roy, SB, Barrett, DJ, Cook, CW, Farley, KA, le Maitre, DC, McCarl, BA, Murray, BC","2005","Trading water for carbon with biological sequestration","Afforestation and Reforestation"
"216","Richards, KR, Stokes, C","2004","A review of forest carbon sequestration cost studies: A dozen years of research","Afforestation and Reforestation"
"217","Dendoncker, N, Van Wesemael, B, Rounsevell, MDA, Roelandt, C, Lettens, S","2004","Belgium's CO2 mitigation potential under improved cropland management","Afforestation and Reforestation"
"218","Vlek, P.L.G., Rodriguez-Kuhl, G., Sommer, R.","2004","Energy use and CO2 production in tropical agriculture and means and strategies for reduction or mitigation","Afforestation and Reforestation"
"219","Kondrashov, LG","2004","Russian Far East forest disturbances and socio-economic problems of restoration","Afforestation and Reforestation"
"220","Baral, A, Guha, GS","2004","Trees for carbon sequestration or fossil fuel substitution: the issue of cost vs. carbon benefit","Afforestation and Reforestation"
"221","Grunzweig, JM, Lin, T, Rotenberg, E, Schwartz, A, Yakir, D","2003","Carbon sequestration in arid-land forest","Afforestation and Reforestation"
"222","Melvin G.R. Cannell","2003","Carbon sequestration and biomass energy offset: theoretical, potential and achievable capacities globally, in Europe and the UK","Afforestation and Reforestation"
"225","Sohngen, B, Mendelsohn, R","2003","An Optimal Control Model of Forest Carbon Sequestration","Afforestation and Reforestation"
"227","Karnosky, D.F., Sharma, P., Thakur, R.C., Kinouchi, M., King, J., Kubiske, M.E., Birdsey, R.A.","2003","Changing atmospheric carbon dioxide: A threat or benefit?","Afforestation and Reforestation"
"228","Plantinga, AJ, Wu, JJ","2003","Co-benefits from carbon sequestration in forests: Evaluating reductions in agricultural externalities from an afforestation policy in Wisconsin","Afforestation and Reforestation"
"229","Caparros, A, Jacquemont, F","2003","Conflicts between biodiversity and carbon sequestration programs: economic and legal implications","Afforestation and Reforestation"
"230","Balooni, K.","2003","Economics of wastelands afforestation in India, a review","Afforestation and Reforestation"
"231","Van Vliet, OPR, Faaij, APC, Dieperink, C","2003","Forestry projects under the clean development mechanism? Modelling of the uncertainties in carbon mitigation and related costs of plantation forestry projects","Afforestation and Reforestation"
"232","Zhang, XQ, Xu, DY","2003","Potential carbon sequestration in China's forests","Afforestation and Reforestation"
"233","Niles, JO, Brown, S, Pretty, J, Ball, AS, Fay, J","2002","Potential carbon mitigation and income in developing countries from changes in use and management of agricultural and forest lands","Afforestation and Reforestation"
"234","Siyanbola, W.O., Adesina, F.A., Pelemo, D.A., Oketola, F.O., Ojo, L.O., Adegbulugbe, A.O.","2002","Towards global climate change mitigation: Assessment of an afforestation option for Nigeria","Afforestation and Reforestation"
"235","Stavins and Richards","2002","The cost of U.S. forest-based carbon sequestration","Afforestation and Reforestation"
"236","Falloon, P, Smith, P, Szabo, J, Pasztor, L","2002","Comparison of approaches for estimating carbon sequestration at the regional scale","Afforestation and Reforestation"
