"","X1","X2","X3","Data categorisation"
"769","Grave, RA, Nicoloso, RD, Cassol, PC, Aita, C, Correa, JC, Dalla Costa, M, Fritz, DD (2015) Short-term carbon dioxide emission under contrasting soil disturbance levels and organic amendments","2015","http://dx.doi.org/10.1016/j.still.2014.10.010",NA
"770","DelVecchia, AG, Bruno, JF, Benninger, L, Alperin, M, Banerjee, O, Morales, JD (2014) Organic carbon inventories in natural and restored Ecuadorian mangrove forests","2014","http://dx.doi.org/10.7717/peerj.388",NA
"771","Makipaa, R, Linkosalo, T, Komarov, A, Makela, A (2015) Mitigation of climate change with biomass harvesting in Norway spruce stands: are harvesting practices carbon neutral?","2015","http://dx.doi.org/10.1139/cjfr-2014-0120",NA
"772","Yagioka, A, Komatsuzaki, M, Kaneko, N, Ueno, H (2015) Effect of no-tillage with weed cover mulching versus conventional tillage on global warming potential and nitrate leaching","2015","http://dx.doi.org/10.1016/j.agee.2014.09.011",NA
"773","Li, YQ, Zhao, XY, Zhang, FX, Awada, T, Wang, SK, Zhao, HL, Zhang, TH, Li, YL (2015) Accumulation of soil organic carbon during natural restoration of desertified grassland in China's Horqin Sandy Land","2015","http://dx.doi.org/10.1007/s40333-014-0045-1",NA
"774","Gu, CH, Crane, J, Hornberger, G, Carrico, A (2015) The effects of household management practices on the global warming potential of urban lawns","2015","http://dx.doi.org/10.1016/j.jenvman.2015.01.008",NA
"775","Lu, N, Akujarvi, A, Wu, X, Liski, J, Wen, ZM, Holmberg, M, Feng, XM, Zeng, Y, Fu, BJ (2015) Changes in soil carbon stock predicted by a process-based soil carbon model (Yasso07) in the Yanhe watershed of the Loess Plateau","2015","http://dx.doi.org/10.1007/s10980-014-0132-x",NA
"776","Islam, M, Dey, A, Rahman, M (2015) Effect of Tree Diversity on Soil Organic Carbon Content in the Homegarden Agroforestry System of North-Eastern Bangladesh","2015","http://dx.doi.org/10.1007/s11842-014-9275-5",NA
"778","Aguilera, E, Guzman, G, Alonso, A (2015) Greenhouse gas emissions from conventional and organic cropping systems in Spain. II. Fruit tree orchards","2015","http://dx.doi.org/10.1007/s13593-014-0265-y","20 years"
"779","Holmes, A, Muller, K, Clothier, B, Deurer, M (2015) Carbon Sequestration in Kiwifruit Orchard Soils at Depth to Mitigate Carbon Emissions","2015","http://dx.doi.org/10.1080/00103624.2014.988583","10-25 years to present"
"780","Lassaletta, L, Aguilera, E (2015) Soil carbon sequestration is a climate stabilization wedge: Comments on Sommer and Bossio (2014)","2015","http://dx.doi.org/10.1016/j.jenvman.2015.01.038",NA
"781","Drake, JA, Carrucan, A, Jackson, WR, Cavagnaro, TR, Patti, AF (2015) Biochar application during reforestation alters species present and soil chemistry","2015","http://dx.doi.org/10.1016/j.scitotenv.2015.02.012",NA
"782","Wang, WJ, Dalal, RC (2015) Nitrogen management is the key for low-emission wheat production in Australia: A life cycle perspective","2015","http://dx.doi.org/10.1016/j.eja.2015.02.007","2006-2009"
"783","Chaplot, V, Abdalla, K, Alexis, M, Bourennane, H, Darboux, F, Dlamini, P, Everson, C, Mchunu, C, Muller-Nedebock, D, Mutema, M, Quenea, K, Thenga, H, Chivenge, P (2015) Surface organic carbon enrichment to explain greater CO2 emissions from short-term no-tilled soils","2015","http://dx.doi.org/10.1016/j.agee.2015.02.001",NA
"784","Negash, M, Kanninen, M (2015) Modeling biomass and soil carbon sequestration of indigenous agroforestry systems using CO2FIX approach","2015","http://dx.doi.org/10.1016/j.agee.2015.02.004",NA
"785","Chen, WY (2015) The role of urban green infrastructure in offsetting carbon emissions in 35 major Chinese cities: A nationwide estimate","2015","http://dx.doi.org/10.1016/j.cities.2015.01.005",NA
"786","Hemati, Z, Hossain, M, Emenike, CU, Rozainah, MZ (2015) Rate of Carbon Storage in Soil of Natural and Degraded Mangrove Forest in Peninsular Malaysia","2015","http://dx.doi.org/10.1002/clen.201400034",NA
"787","Chen, HX, Zhao, Y, Feng, H, Li, HJ, Sun, BH (2015) Assessment of climate change impacts on soil organic carbon and crop yield based on long-term fertilization applications in Loess Plateau, China","2015","http://dx.doi.org/10.1007/s11104-014-2332-1",NA
"788","Tian, K, Zhao, YC, Xu, XH, Hai, N, Huang, BA, Deng, WJ (2015) Effects of long-term fertilization and residue management on soil organic carbon changes in paddy soils of China: A meta-analysis","2015","http://dx.doi.org/10.1016/j.agee.2015.02.008","1980-2012"
"789","Wu, YP, Liu, SG, Tan, ZX (2015) Quantitative attribution of major driving forces on soil organic carbon dynamics","2015","http://dx.doi.org/10.1002/2014MS000361","current"
"790","Su, XK, Wu, Y, Dong, SK, Wen, L, Li, YY, Wang, XX (2015) Effects of grassland degradation and re-vegetation on carbon and nitrogen storage in the soils of the Headwater Area Nature Reserve on the Qinghai-Tibetan Plateau, China","2015","http://dx.doi.org/10.1007/s11629-014-3043-z","Current"
"791","Yang, B, Xiong, ZQ, Wang, JY, Xu, X, Huang, QW, Shen, QR (2015) Mitigating net global warming potential and greenhouse gas intensities by substituting chemical nitrogen fertilizers with organic fertilization strategies in rice-wheat annual rotation systems in China: A 3-year field experiment","2015","http://dx.doi.org/10.1016/j.ecoleng.2015.04.071","2011-2014"
"792","Henderson, BB, Gerber, PJ, Hilinski, TE, Falcucci, A, Ojima, DS, Salvatore, M, Conant, RT (2015) Greenhouse gas mitigation potential of the world's grazing lands: Modeling soil carbon and nitrogen fluxes of mitigation practices","2015","http://dx.doi.org/10.1016/j.agee.2015.03.029","2000 to future"
"793","Zhao, X, Xue, JF, Zhang, XQ, Kong, FL, Chen, F, Lal, R, Zhang, HL (2015) Stratification and Storage of Soil Organic Carbon and Nitrogen as Affected by Tillage Practices in the North China Plain","2015","http://dx.doi.org/10.1371/journal.pone.0128873","2001-present"
"794","Boca, A, Van Miegroet, H, Gruselle, MC (2014) Forest Overstory Effect on Soil Organic Carbon Storage: A Meta-analysis","2014","http://dx.doi.org/10.2136/sssaj2013.08.0332nafsc",NA
"795","Zucaro, A, Forte, A, Fagnano, M, Bastianoni, S, Basosi, R, Fierro, A (2015) Comparative Attributional Life Cycle Assessment of Annual and Perennial Lignocellulosic Feedstocks Production Under Mediterranean Climate for Biorefinery Framework","2015","http://dx.doi.org/10.1002/ieam.1604","2012-2015"
"796","Lacoste, M, Viaud, V, Michot, D, Walter, C (2015) Landscape-scale modelling of erosion processes and soil carbon dynamics under land-use and climate change in agroecosystems","2015","http://dx.doi.org/10.1111/ejss.12267","2010-2100"
"797","Zhang, F, Li, CS, Wang, Z, Glidden, S, Grogan, DS, Li, XX, Cheng, Y, Frolking, S (2015) Modeling impacts of management on farmland soil carbon dynamics along a climate gradient in Northwest China during 1981-2000","2015","http://dx.doi.org/10.1016/j.ecolmodel.2015.05.006","1981-2000"
"798","Liu, YL, Zhou, ZQ, Zhang, XX, Xu, X, Chen, H, Xiong, ZQ (2015) Net global warming potential and greenhouse gas intensity from the double rice system with integrated soil-crop system management: A three-year field study","2015","http://dx.doi.org/10.1016/j.atmosenv.2015.06.018",NA
"799","Henry, BK, Butler, D, Wiedemann, SG (2015) Quantifying carbon sequestration on sheep grazing land in Australia for life cycle assessment studies","2015","http://dx.doi.org/10.1071/RJ14109",NA
"800","Chen, ZD, Zhang, HL, Dikgwatlhe, SB, Xue, JF, Qiu, KC, Tang, HM, Chen, F (2015) Soil carbon storage and stratification under different tillage/residue-management practices in double rice cropping system","2015","http://dx.doi.org/10.1016/S2095-3119(15)61068-1",NA
"801","Wang, GC, Huang, Y, Zhang, W, Yu, YQ, Sun, WJ (2015) Quantifying carbon input for targeted soil organic carbon sequestration in China's croplands","2015","http://dx.doi.org/10.1007/s11104-015-2508-3",NA
"802","Cardinael, R, Chevallier, T, Barthes, BG, Saby, NPA, Parent, T, Dupraz, C, Bernoux, M, Chenu, C (2015) Impact of alley cropping agroforestry on stocks, forms and spatial distribution of soil organic carbon - A case study in a Mediterranean context","2015","http://dx.doi.org/10.1016/j.geoderma.2015.06.015","1995-present"
"803","Wiesmeier, M, Munro, S, Barthold, F, Steffens, M, Schad, P, Kogel-Knabner, I (2015) Carbon storage capacity of semi-arid grassland soils and sequestration potentials in northern China","2015","http://dx.doi.org/10.1111/gcb.12957","Current"
"804","Noormets, A, Epron, D, Domec, JC, McNulty, SG, Fox, T, Sun, G, King, JS (2015) Effects of forest management on productivity and carbon sequestration: A review and hypothesis","2015","http://dx.doi.org/10.1016/j.foreco.2015.05.019",NA
"805","Meyer, R, Cullen, BR, Johnson, IR, Eckard, RJ (2015) Process modelling to assess the sequestration and productivity benefits of soil carbon for pasture","2015","http://dx.doi.org/10.1016/j.agee.2015.07.024",NA
"806","Silva, RD, Barioni, LG, Albertini, TZ, Eory, V, Topp, CFE, Fernandes, FA, Moran, D (2015) Developing a nationally appropriate mitigation measure from the greenhouse gas GHG abatement potential from livestock production in the Brazilian Cerrado","2015","http://dx.doi.org/10.1016/j.agsy.2015.08.011","2006-2030"
"807","Zhao, X, Zhang, R, Xue, JF, Pu, C, Zhang, XQ, Liu, SL, Chen, F, Lal, R, Zhang, HL (2015) Management-Induced Changes to Soil Organic Carbon in China: A Meta-analysis","2015","http://dx.doi.org/10.1016/bs.agron.2015.06.002",NA
"808","Wang, P, Liu, YL, Li, LQ, Cheng, K, Zheng, JF, Zhang, XH, Zheng, JW, Joseph, S, Pan, GX (2015) Long-term rice cultivation stabilizes soil organic carbon and promotes soil microbial activity in a salt marsh derived soil chronosequence","2015","http://dx.doi.org/10.1038/srep15704",NA
"809","Ghaley, BB, Porter, JR (2014) Ecosystem function and service quantification and valuation in a conventional winter wheat production system with DAISY model in Denmark","2014","http://dx.doi.org/10.1016/j.ecoser.2014.09.010","current conditions"
"810","Shrestha, BM, Singh, BR, Forte, C, Certini, G (2015) Long-term effects of tillage, nutrient application and crop rotation on soil organic matter quality assessed by NMR spectroscopy","2015","http://dx.doi.org/10.1111/sum.12198","1953 to present"
"811","Sperow, M (2016) Estimating carbon sequestration potential on US agricultural topsoils","2016","http://dx.doi.org/10.1016/j.still.2015.09.006",NA
"812","Frank, S, Schmid, E, Havlik, P, Schneider, UA, Bottcher, H, Balkovic, J, Obersteiner, M (2015) The dynamic soil organic carbon mitigation potential of European cropland","2015","http://dx.doi.org/10.1016/j.gloenvcha.2015.08.004","2050"
"813","Zhang, ZS, Guo, LJ, Liu, TQ, Li, CF, Cao, CG (2015) Effects of tillage practices and straw returning methods on greenhouse gas emissions and net ecosystem economic budget in rice wheat cropping systems in central China","2015","http://dx.doi.org/10.1016/j.atmosenv.2015.09.065",NA
"814","Sadeghi, H, Raeini, MGN (2016) Capability investigation of carbon sequestration in Artemisia aucheri Bioss","2016","http://dx.doi.org/10.1007/s13762-015-0858-2",NA
"815","O'Connell, JL, Daniel, DW, McMurry, ST, Smith, LM (2016) Soil organic carbon in playas and adjacent prairies, cropland, and Conservation Reserve Program land of the High Plains, USA","2016","http://dx.doi.org/10.1016/j.still.2015.09.012",NA
"816","Longbottom, ML, Petrie, PR (2015) Role of vineyard practices in generating and mitigating greenhouse gas emissions","2015","http://dx.doi.org/10.1111/ajgw.12197","Recent"
"817","Fernandez-Romero, ML, Parras-Alcantara, L, Lozano-Garcia, B, Clark, JM, Collins, CD (2016) Soil quality assessment based on carbon stratification index in different olive grove management practices in Mediterranean areas","2016","http://dx.doi.org/10.1016/j.catena.2015.10.019",NA
"818","Liu, W, Hussain, S, Wu, LS, Qin, ZG, Li, XK, Lu, JW, Khan, F, Cao, WD, Geng, MJ (2016) Greenhouse gas emissions, soil quality, and crop productivity from a mono-rice cultivation system as influenced by fallow season straw management","2016","http://dx.doi.org/10.1007/s11356-015-5227-7","3 year experiment"
"819","Abegaz, A, Winowiecki, LA, Vagen, TG, Langan, S, Smith, JU (2016) Spatial and temporal dynamics of soil organic carbon in landscapes of the upper Blue Nile Basin of the Ethiopian Highlands","2016","http://dx.doi.org/10.1016/j.agee.2015.11.019","Recent "
"820","Guan, XK, Turner, NC, Song, L, Gu, YJ, Wang, TC, Li, FM (2016) Soil carbon sequestration by three perennial legume pastures is greater in deeper soil layers than in the surface soil","2016","http://dx.doi.org/10.5194/bg-13-527-2016","Recent - 7 years"
"821","Smith, P (2016) Soil carbon sequestration and biochar as negative emission technologies","2016","http://dx.doi.org/10.1111/gcb.13178","2030-2050"
"822","Triberti, L, Nastri, A, Baldoni, G (2016) Long-term effects of crop rotation, manure and mineral fertilisation on carbon sequestration and soil fertility","2016","http://dx.doi.org/10.1016/j.eja.2015.11.024",NA
"823","Powlson, DS, Stirling, CM, Thierfelder, C, White, RP, Jat, ML (2016) Does conservation agriculture deliver climate change mitigation through soil carbon sequestration in tropical agro-ecosystems?","2016","http://dx.doi.org/10.1016/j.agee.2016.01.005","Meta-analysis"
"824","Luo, ZK, Wang, EL, Rossel, RAV (2016) Can the sequestered carbon in agricultural soil be maintained with changes in management, temperature and rainfall? A sensitivity assessment","2016","http://dx.doi.org/10.1016/j.geoderma.2016.01.015","Currentand future"
"825","Solomon, D, Lehmann, J, Fraser, JA, Leach, M, Amanor, K, Frausin, V, Kristiansen, SM, Millimouno, D, Fairhead, J (2016) Indigenous African soil enrichment as a climate-smart sustainable agriculture alternative","2016","http://dx.doi.org/10.1002/fee.1226",NA
"826","Winans, KS, Whalen, JK, Rivest, D, Cogliastro, A, Bradley, RL (2016) Carbon Sequestration and Carbon Markets for Tree-Based Intercropping Systems in Southern Quebec, Canada","2016","http://dx.doi.org/10.3390/atmos7020017","10 year (recent)"
"827","Haque, MM, Biswas, JC, Kim, SY, Kim, PJ (2016) Suppressing methane emission and global warming potential from rice fields through intermittent drainage and green biomass amendment","2016","http://dx.doi.org/10.1111/sum.12229",NA
"828","Tian, Z, Wu, XQ, Dai, EF, Zhao, DS (2016) SOC storage and potential of grasslands from 2000 to 2012 in central and eastern Inner Mongolia, China","2016","http://dx.doi.org/10.1007/s40333-016-0041-8",NA
"829","Mohamad, RS, Verrastro, V, Al Bitar, L, Roma, R, Moretti, M, Al Chami, Z (2016) Effect of different agricultural practices on carbon emission and carbon stock in organic and conventional olive systems","2016","http://dx.doi.org/10.1071/SR14343",NA
"830","Zhang, LM, Zhuang, QL, Li, XD, Zhao, QY, Yu, DS, Liu, YL, Shi, XZ, Xing, SH, Wang, GX (2016) Carbon sequestration in the uplands of Eastern China: An analysis with high-resolution model simulations","2016","http://dx.doi.org/10.1016/j.still.2016.01.001","1980-2009"
"831","Montiel-Rozas, MD, Panettieri, M, Madejon, P, Madejon, E (2016) Carbon Sequestration in Restored Soils by Applying Organic Amendments","2016","http://dx.doi.org/10.1002/ldr.2466",NA
"832","Nuzzo, A, Madonna, E, Mazzei, P, Spaccini, R, Piccolo, A (2016) In situ photo-polymerization of soil organic matter by heterogeneous nano-TiO2 and biomimetic metal-porphyrin catalysts","2016","http://dx.doi.org/10.1007/s00374-016-1102-z",NA
"833","Zhang, YW, Shangguan, ZP (2016) The coupling interaction of soil water and organic carbon storage in the long vegetation restoration on the Loess Plateau","2016","http://dx.doi.org/10.1016/j.ecoleng.2016.03.033",NA
"834","Bikila, NG, Tessema, ZK, Abule, EG (2016) Carbon sequestration potentials of semi-arid rangelands under traditional management practices in Borana, Southern Ethiopia","2016","http://dx.doi.org/10.1016/j.agee.2016.02.028",NA
"835","Zhang, LM, Zhuang, QL, He, YJ, Liu, YL, Yu, DS, Zhao, QY, Shi, XZ, Xing, SH, Wang, GX (2016) Toward optimal soil organic carbon sequestration with effects of agricultural management practices and climate change in Tai-Lake paddy soils of China","2016","http://dx.doi.org/10.1016/j.geoderma.2016.04.001","Current"
"836","Li, YJ, Jiao, JY, Wang, ZJ, Cao, BT, Wei, YH, Hu, S (2016) Effects of Revegetation on Soil Organic Carbon Storage and Erosion-Induced Carbon Loss under Extreme Rainstorms in the Hill and Gully Region of the Loess Plateau","2016","http://dx.doi.org/10.3390/ijerph13050456",NA
"837","Zhang, XX, Xu, X, Liu, YL, Wang, JY, Xiong, ZQ (2016) Global warming potential and greenhouse gas intensity in rice agriculture driven by high yields and nitrogen use efficiency","2016","http://dx.doi.org/10.5194/bg-13-2701-2016",NA
"838","Zhang, XB, Sun, N, Wu, LH, Xu, MG, Bingham, IJ, Li, ZF (2016) Effects of enhancing soil organic carbon sequestration in the topsoil by fertilization on crop productivity and stability: Evidence from long-term experiments with wheat-maize cropping systems in China","2016","http://dx.doi.org/10.1016/j.scitotenv.2016.03.193",NA
"839","Berti, A, Morari, F, Dal Ferro, N, Simonetti, G, Polese, R (2016) Organic input quality is more important than its quantity: C turnover coefficients in different cropping systems","2016","http://dx.doi.org/10.1016/j.eja.2016.03.005",NA
"841","England, JR, Paul, KI, Cunningham, SC, Madhavan, DB, Baker, TG, Read, Z, Wilson, BR, Cavagnaro, TR, Lewis, T, Perring, MP, Herrmann, T, Polglase, PJ (2016) Previous land use and climate influence differences in soil organic carbon following reforestation of agricultural land with mixed-species plantings","2016","http://dx.doi.org/10.1016/j.agee.2016.04.026",NA
"842","Ward, SE, Smart, SM, Quirk, H, Tallowin, JRB, Mortimer, SR, Shiel, RS, Wilby, A, Bardgett, RD (2016) Legacy effects of grassland management on soil carbon to depth","2016","http://dx.doi.org/10.1111/gcb.13246",NA
"843","Alcantara, V, Don, A, Well, R, Nieder, R (2016) Deep ploughing increases agricultural soil organic matter stocks","2016","http://dx.doi.org/10.1111/gcb.13289","Over 45 years"
"844","Augustin, C, Cihacek, LJ (2016) Relationships Between Soil Carbon and Soil Texture in the Northern Great Plains","2016","http://dx.doi.org/10.1097/SS.0000000000000173",NA
"845","Liu, W, Peng, C, Chen, ZF, Liu, Y, Yan, J, Li, JQ, Sang, T (2016) Sustainable bioenergy production with little carbon debt in the Loess Plateau of China","2016","http://dx.doi.org/10.1186/s13068-016-0586-y","1980-2008"
"846","Liang, F, Li, JW, Yang, XY, Huang, SM, Cai, ZJ, Gao, HJ, Ma, JY, Cui, X, Xu, MG (2016) Three-decade long fertilization-induced soil organic carbon sequestration depends on edaphic characteristics in six typical croplands","2016","http://dx.doi.org/10.1038/srep30350",NA
"847","Kampf, I, Holzel, N, Storrle, M, Broll, G, Kiehl, K (2016) Potential of temperate agricultural soils for carbon sequestration: A meta-analysis of land-use effects","2016","http://dx.doi.org/10.1016/j.scitotenv.2016.05.067",NA
"848","Piccoli, I, Chiarini, F, Corlett, P, Furlan, L, Lazzaro, B, Nardi, S, Berti, A, Sartori, L, Dalconi, MC, Morari, F (2016) Disentangling the effects of conservation agriculture practices on the vertical distribution of soil organic carbon. Evidence of poor carbon sequestration in North- Eastern Italy","2016","http://dx.doi.org/10.1016/j.agee.2016.05.035",NA
"849","Jat, ML, Dagar, JC, Sapkota, TB, Yadvinder-Singh, Govaerts, B, Ridaura, SL, Saharawat, YS, Sharma, RK, Tetarwal, JP, Jat, RK, Hobbs, H, Stirling, C (2016) Climate Change and Agriculture: Adaptation Strategies and Mitigation Opportunities for Food Security in South Asia and Latin America","2016","http://dx.doi.org/10.1016/bs.agron.2015.12.005",NA
"850","Jeffery, S, Verheijen, FGA, Kammann, C, Abalos, D (2016) Biochar effects on methane emissions from soils: A meta-analysis","2016","http://dx.doi.org/10.1016/j.soilbio.2016.07.021",NA
"851","Lacoste, M, Michot, D, Viaud, V, Walter, C (2016) Model-based evaluation of impact of soil redistribution on soil organic carbon stocks in a temperate hedgerow landscape","2016","http://dx.doi.org/10.1002/esp.3925","Recent - model based"
"852","Fornara, DA, Wasson, EA, Christie, P, Watson, CJ (2016) Long-term nutrient fertilization and the carbon balance of permanent grassland: any evidence for sustainable intensification?","2016","http://dx.doi.org/10.5194/bg-13-4975-2016","43 years"
"853","Meersmans, J, Arrouays, D, Van Rompaey, AJJ, Page, C, De Baets, S, Quine, TA (2016) Future C loss in mid-latitude mineral soils: climate change exceeds land use mitigation potential in France","2016","http://dx.doi.org/10.1038/srep35798",NA
"854","Bremer, LL, Farley, KA, Chadwick, OA, Harden, CP (2016) Changes in carbon storage with land management promoted by payment for ecosystem services","2016","http://dx.doi.org/10.1017/S0376892916000199",NA
"855","Rimhanen, K, Ketoja, E, Yli-Halla, M, Kahiluoto, H (2016) Ethiopian agriculture has greater potential for carbon sequestration than previously estimated","2016","http://dx.doi.org/10.1111/gcb.13288","not clear"
"856","Li, L, Chang, YP, Li, XF, Qiao, XW, Luo, QH, Xu, ZY, Xu, ZL (2016) Carbon sequestration potential of cropland reforestation on the northern slope of the Tianshan Mountains","2016","http://dx.doi.org/10.1139/cjss-2015-0122",NA
"857","Zhang, XQ, Pu, C, Zhao, X, Xue, JF, Zhang, R, Nie, ZJ, Chen, F, Lal, R, Zhang, HL (2016) Tillage effects on carbon footprint and ecosystem services of climate regulation in a winter wheat-summer maize cropping system of the North China Plain","2016","http://dx.doi.org/10.1016/j.ecolind.2016.03.046",NA
"858","Crow, SE, Reeves, M, Turn, S, Taniguchi, S, Schubert, OS, Koch, N (2016) Carbon balance implications of land use change from pasture to managed eucalyptus forest in Hawaii","2016","http://dx.doi.org/10.1080/17583004.2016.1213140",NA
"859","Jerath, M, Bhat, M, Rivera-Monroy, VH, Castaneda-Moya, E, Simard, M, Twilley, RR (2016) The role of economic, policy, and ecological factors in estimating the value of carbon stocks in Everglades mangrove forests, South Florida, USA","2016","http://dx.doi.org/10.1016/j.envsci.2016.09.005","Recent"
"860","Zhang, F, Zhang, WJ, Li, M, Zhang, Y, Li, FM, Li, CB (2017) Is crop biomass and soil carbon storage sustainable with long-termapplication of full plastic film mulching under future climate change?","2017","http://dx.doi.org/10.1016/j.agsy.2016.10.011","Recent - and modelled to 2016"
"861","Vicente-Vicente, JL, Garcia-Ruiz, R, Francaviglia, R, Aguilera, E, Smith, P (2016) Soil carbon sequestration rates under Mediterranean woody crops using recommended management practices: A meta-analysis","2016","http://dx.doi.org/10.1016/j.agee.2016.10.024","Recent"
"862","Shiau, YJ, Burchell, M, Krauss, K, Birgand, F, Broome, S (2016) Greenhouse Gas Emissions from a Created Brackish Marsh in Eastern North Carolina","2016","http://dx.doi.org/10.1007/s13157-016-0815-y",NA
"863","Kirschbaum, MUF, Schipper, LA, Mudge, PL, Rutledge, S, Puche, NJB, Campbell, DI (2017) The trade-offs between milk production and soil organic carbon storagein dairy systems under different management and environmental factors","2017","http://dx.doi.org/10.1016/j.scitotenv.2016.10.055",NA
"864","Lal, R (2016) Feeding 11 billion on 0.5 billion hectare of area under cereal crops","2016","http://dx.doi.org/10.1002/fes3.99",NA
"865","Novara, A, Gristina, L, Sala, G, Galati, A, Crescimanno, M, Cerda, A, Badalamenti, E, La Mantia, T (2017) Agricultural land abandonment in Mediterranean environment providesecosystem services via soil carbon sequestration","2017","http://dx.doi.org/10.1016/j.scitotenv2016.10.123",NA
"866","Diwediga, B, Le, QB, Agodzo, S, Wala, K (2017) Potential storages and drivers of soil organic carbon and total nitrogenacross river basin landscape: The case of Mo river basin (Togo) in WestAfrica","2017","http://dx.doi.org/10.1016/j.ecoleng.2016.11.055",NA
"867","de Figueiredo, EB, Jayasundara, S, Bordonal, RD, Berchielli, TT, Reis, RA, Wagner-Riddle, C, La Scala, N (2017) Greenhouse gas balance and carbon footprint of beef cattle in threecontrasting pasture-management systems in Brazil","2017","http://dx.doi.org/10.1016/j.jclepro.2016.03.132","Brazil"
"868","Bhattarai, MD, Secchi, S, Schoof, J (2017) An Analysis of the Climate Change Mitigation Potential through SoilOrganic Carbon Sequestration in a Corn Belt Watershed","2017","http://dx.doi.org/10.1007/s00267-016-0771-6","Modelled - EPIC model"
"869","Ghimire, R, Lamichhane, S, Acharya, BS, Bista, P, Sainju, UM (2017) Tillage, crop residue, and nutrient management effects on soil organiccarbon in rice-based cropping systems: A review","2017","http://dx.doi.org/10.1016/S2095-3119(16)61337-0","Recent"
"870","Du, ZL, Angers, DA, Ren, TS, Zhang, QZ, Li, GC (2017) The effect of no-till on organic C storage in Chinese soils should notbe overemphasized: A meta-analysis","2017","http://dx.doi.org/10.1016/j.agee.2016.11.007","Recent - meta-analysis"
"871","Cardinael, R, Chevallier, T, Cambou, A, Beral, C, Barthes, BG, Dupraz, C, Durand, C, Kouakoua, E, Chenu, C (2017) Increased soil organic carbon stocks under agroforestry: A survey of sixdifferent sites in France","2017","http://dx.doi.org/10.1016/j.agee.2016.12.011","6-41 years"
"872","OJIMA, DS, DIRKS, BOM, GLENN, EP, OWENSBY, CE, SCURLOCK, JO (1993) ASSESSMENT OF C BUDGET FOR GRASSLANDS AND DRYLANDS OF THE WORLD","1993","http://dx.doi.org/10.1007/BF01104990",NA
"873","SCHIMEL, DS, BRASWELL, BH, HOLLAND, EA, MCKEOWN, R, OJIMA, DS, PAINTER, TH, PARTON, WJ, TOWNSEND, AR (1994) CLIMATIC, EDAPHIC, AND BIOTIC CONTROLS OVER STORAGE AND TURNOVER OF CARBON IN SOILS","1994","http://dx.doi.org/10.1029/94GB00993",NA
"877","Benbi, D.K. (2013) Greenhouse Gas Emissions from Agricultural Soils: Sources and Mitigation Potential","2013","http://dx.doi.org/10.1080/15427528.2013.845054","50 years"
"880","Utomo, M. (2014) Conservation tillage assessment for mitigating greenhouse gas emission in rainfed agro-ecosystems","2014","http://dx.doi.org/10.1007/978-4-431-54804-1_4","2009-11"
"881","Freibauer, A, Rounsevell, MDA, Smith, P, Verhagen, J (2004) Carbon sequestration in the agricultural soils of Europe","2004","http://dx.doi.org/10.1016/j.geoderma.2004.01.021",NA
"882","Lal, R (2004) Soil carbon sequestration to mitigate climate change","2004","http://dx.doi.org/10.1016/j.geoderma.2004.01.032",NA
"883","Lal, R (2005) Soil carbon sequestration for sustaining agricultural production and improving the environment with particular reference to Brazil","2005","http://dx.doi.org/10.1300/J064v26n04_04",NA
"885","Allen, LH, Albrecht, SL, Boote, KJ, Thomas, JMG, Newman, YC, Skirvin, KW (2006) Soil organic carbon and nitrogen accumulation in plots of rhizoma perennial peanut and bahiagrass grown in elevated carbon dioxide and temperature","2006","http://dx.doi.org/10.2134/jeq2005.0156","1995-2001"
"886","Jandl, R, Lindner, M, Vesterdal, L, Bauwens, B, Baritz, R, Hagedorn, F, Johnson, DW, Minkkinen, K, Byrne, KA (2007) How strongly can forest management influence soil carbon sequestration?","2007","http://dx.doi.org/10.1016/j.geoderma.2006.09.003",NA
"887","Doraiswamy, PC, McCarty, GW, Hunt, ER, Yost, RS, Doumbia, M, Franzluebbers, AJ (2007) Modeling soil carbon sequestration in agricultural lands of Mali","2007","http://dx.doi.org/10.1016/j.agsy.2005.09.011",NA
"888","Powlson, DS, Riche, AB, Coleman, K, Glendining, N, Whitmore, AP (2008) Carbon sequestration in European soils through straw incorporation: Limitations and alternatives","2008","http://dx.doi.org/10.1016/j.wasman.2007.09.024","100 year model"
"889","Zheng, H, Ouyang, ZY, Xu, WH, Wang, XK, Miao, H, Li, XQ, Tian, YX (2008) Variation of carbon storage by different reforestation types in the hilly red soil region of southern China","2008","http://dx.doi.org/10.1016/j.foreco.2007.10.015","14 years"
"890","Apezteguia, HP, Izaurralde, RC, Sereno, R (2009) Simulation study of soil organic matter dynamics as affected by land use and agricultural practices in semiarid Cordoba, Argentina","2009","http://dx.doi.org/10.1016/j.still.2008.07.016","40 years"
"891","Wilson, GWT, Rice, CW, Rillig, MC, Springer, A, Hartnett, DC (2009) Soil aggregation and carbon sequestration are tightly correlated with the abundance of arbuscular mycorrhizal fungi: results from long-term field experiments","2009","http://dx.doi.org/10.1111/j.1461-0248.2009.01303.x",NA
"892","Young, RR, Wilson, B, Harden, S, Bernardi, A (2009) Accumulation of soil carbon under zero tillage cropping and perennial vegetation on the Liverpool Plains, eastern Australia","2009","http://dx.doi.org/10.1071/SR08104",NA
"893","Follett, RF, Reed, DA (2010) Soil Carbon Sequestration in Grazing Lands: Societal Benefits and Policy Implications","2010","http://dx.doi.org/10.2111/08-225.1",NA
